種牡馬名,区分,条件文,source
ダノンレジェンド,買い,ダート。母父が米国型以外。近走先行経験馬(テンパターン50以内) or 前走から距離延長 or 大型馬(前走馬体重500キロ以上),2026-06-20_16-03-02.pdf
ダノンレジェンド,買い,芝1200m以下。2、3歳限定戦,2026-06-20_16-03-02.pdf
タリスマニック,買い,芝1500m以下,2026-06-20_16-03-31.pdf
タリスマニック,消し,ダート・母父欧州型,2026-06-20_16-03-31.pdf
タワーオブロンドン,買い,芝1400m以下。近走先行経験馬(テンパターン30以内),2026-06-20_16-03-41.pdf
デクラレーションオブウォー,買い,芝。母父米国型以外。近走上がり上位馬(上がりパターン30以内) or 大型馬(前走馬体重480キロ以上),2026-06-20_16-04-45.pdf
デクラレーションオブウォー,買い,ダート。母父米国型。近走上がり上位馬(上がりパターン50以内),2026-06-20_16-04-45.pdf
デクラレーションオブウォー,消し,ダート1800m以上。母父サンデー系(大系統)の牝馬,2026-06-20_16-04-45.pdf
ドレフォン,買い,母父が米国型。ダート1600m以上。特に牡馬,2026-06-20_16-05-08.pdf
ドレフォン,買い,母父がTサンデー系かディープ系。芝1600m以上で直線の長いコース,2026-06-20_16-05-08.pdf
ドレフォン,消し,芝1200m以下。特に古馬混合戦,2026-06-20_16-05-08.pdf
ナダル,買い,ダートの新馬戦 or キャリア5戦以内のダート1800m以上,2026-06-20_16-05-22.pdf
ナダル,消し,芝・牡馬,2026-06-20_16-05-22.pdf
ニューイヤーズデイ,買い,芝1500m以下,2026-06-20_16-05-30.pdf
ニューイヤーズデイ,買い,芝1600m以上。近走先行経験馬(テンパターン50以内),2026-06-20_16-05-30.pdf
ニューイヤーズデイ,買い,直線が長いコースのダート。,2026-06-20_16-05-30.pdf
ニューイヤーズデイ,買い,近走で先行していない馬(テンパターン50以内を未経験),2026-06-20_16-05-30.pdf
バレスマリス,買い,芝1600m以上で直線が長いコース,2026-06-20_16-05-57.pdf
ビッグアーサー,買い,芝1200m以下の古馬混合戦 or 近走先行経験馬(テンパターン30以内),2026-06-20_16-06-05.pdf
ビッグアーサー,消し,芝1400m以上,2026-06-20_16-06-05.pdf
ブリックスアンドモルタル,買い,芝の下級条件(1勝クラスより下)で母父が非サンデー系。近走先行経験馬(テンパターン50以内),2026-06-20_16-06-19.pdf
ヘニーヒューズ,買い,ダート1700m以下。母父欧州型以外。牡馬、セン馬 or 2〜3歳限定戦,2026-06-20_16-06-26.pdf
ホッコータルマエ,買い,ダート1900m以上。近走先行経験馬(テンパターン50以内) or 大型馬(前走馬体重480キロ以上),2026-06-20_16-06-33.pdf
ホッコータルマエ,消し,ダート1400m以下。母父サンデー系(大系統),2026-06-20_16-06-33.pdf
マインドユアビスケッツ,買い,ダート1700m以上で外枠(5〜8枠) or 2〜3歳限定戦,2026-06-20_16-06-42.pdf
マインドユアビスケッツ,消し,ダート1200m以下で内枠(1〜4枠),2026-06-20_16-06-42.pdf
マジェスティックウォリアー,買い,ダート1800m以上。牡馬、セン馬。外枠(5〜8枠),2026-06-20_16-07-01.pdf
マジェスティックウォリアー,消し,1200m以下。内枠(1〜4枠),2026-06-20_16-07-01.pdf
ミスターメロディ,買い,芝で直線が長いコース。特に1400m以下,2026-06-20_16-07-16.pdf
ミッキーアイル,買い,牝馬芝1600m以下,2026-06-20_16-07-24.pdf
ミッキーアイル,買い,牡馬で母父米国型ダート1600m以下,2026-06-20_16-07-24.pdf
ミッキーアイル,消し,牡馬芝1800m以上,2026-06-20_16-07-24.pdf
モーリス,買い,母父ディープ系、Tサンデー系。芝1600m以上で直線が長いコース,2026-06-20_16-07-37.pdf
モーリス,消し,ダート1400m以下,2026-06-20_16-07-37.pdf
モズアスコット,買い,牡馬。母父が米国型以外。芝1800m以上で直線が短いコース,2026-06-20_16-07-45.pdf
モズアスコット,買い,牡馬。ダート1700m以上,2026-06-20_16-07-45.pdf
モズアスコット,買い,東京ダート,2026-06-20_16-07-45.pdf
モズアスコット,買い,牝馬。芝1400m以下,2026-06-20_16-07-45.pdf
リアルスティール,買い,芝1800m以上。牡馬,2026-06-20_16-07-57.pdf
リアルスティール,買い,ダート1800m以上。母父米国型の牡馬,2026-06-20_16-07-57.pdf
ルヴァンスレーヴ,買い,ダート1600m以上。母父米国型,2026-06-20_16-08-11.pdf
ルヴァンスレーヴ,買い,牡馬、セン馬。,2026-06-20_16-08-11.pdf
ルーラーシップ,買い,母父がサンデー系(大系統)の牡馬。芝2000m以上で直線が長いコース。古馬混合戦,2026-06-20_16-08-24.pdf
ロードカナロア,買い,牡馬、セン馬。ダート1600m以下の古馬混合戦,2026-06-20_16-08-41.pdf
ロードカナロア,買い,牡馬、セン馬。母父サンデー系(大系統)以外。芝1400m以下の古馬混合戦,2026-06-20_16-08-41.pdf
ロードカナロア,買い,牝馬。母父ディープ系、Tサンデー系。芝1600〜1800m,2026-06-20_16-08-41.pdf
ロードカナロア,買い,芝1600m以下の2勝クラス以上,2026-06-20_16-08-41.pdf
Dark Angel,買い,芝1200m以下,2026-06-20_16-09-12.pdf
Dark Angel,消し,ダート,2026-06-20_16-09-12.pdf
Frankel,買い,芝1600m以上で直線が長いコース,2026-06-20_16-09-27.pdf
Frankel,消し,ダート1400m以下,2026-06-20_16-09-27.pdf
